node_type_id model_name model_type ei model_template morphology model_processing
160 497232617_all-active biophysical i nml:Cell_497232617.cell.nml Pvalb-IRES-Cre;Ai14-191322.04.02.01_491119269_m aibs_perisomatic
161 496930419_all-active biophysical i nml:Cell_496930419.cell.nml Htr3a-Cre_491119743_m aibs_perisomatic
162 497232593_all-active biophysical i nml:Cell_497232593.cell.nml Htr3a-Cre_491771409_m aibs_perisomatic
163 497232585_all-active biophysical i nml:Cell_497232585.cell.nml Sst-IRES-Cre;Ai14-192340.03.01.01_491119721_m aibs_perisomatic
164 497232571_all-active biophysical i nml:Cell_497232571.cell.nml Rorb-IRES2-Cre-D;Ai14-192794.05.01.01_492413653_m aibs_perisomatic
165 497232564_all-active biophysical i nml:Cell_497232564.cell.nml Rorb-IRES2-Cre-D;Ai14-194322.05.02.01_492413664_m aibs_perisomatic
166 497232557_all-active biophysical i nml:Cell_497232557.cell.nml Pvalb-IRES-Cre;Ai14-195045.05.02.01_491119688_m aibs_perisomatic
167 497232507_all-active biophysical i nml:Cell_497232507.cell.nml Rorb-IRES2-Cre-D;Ai14-194017.03.01.01_491770945_m aibs_perisomatic
168 497232492_all-active biophysical i nml:Cell_497232492.cell.nml Htr3a-Cre_491119581_m aibs_perisomatic
169 496930324_all-active biophysical i nml:Cell_496930324.cell.nml Rorb-IRES2-Cre-D;Ai14-197353.06.02.01_496079587_m aibs_perisomatic
170 497232429_all-active biophysical i nml:Cell_497232429.cell.nml Rorb-IRES2-Cre-D;Ai14-197851.04.01.01_491770985_m aibs_perisomatic
171 497232419_all-active biophysical i nml:Cell_497232419.cell.nml Rorb-IRES2-Cre-D;Ai14-197851.05.02.01_492413372_m aibs_perisomatic
172 497232406_all-active biophysical i nml:Cell_497232406.cell.nml Htr3a-Cre_491119526_m aibs_perisomatic
173 497232392_all-active biophysical i nml:Cell_497232392.cell.nml Pvalb-IRES-Cre;Ai14-199001.04.02.01_491119245_m aibs_perisomatic
174 497232373_all-active biophysical i nml:Cell_497232373.cell.nml Sst-IRES-Cre;Ai14-199390.05.01.01_492101025_m aibs_perisomatic
175 515175354_all-active biophysical i nml:Cell_515175354.cell.nml Cux2-CreERT2;Ai14-198018.04.01.01_514351601_m aibs_perisomatic
176 496538965_all-active biophysical i nml:Cell_496538965.cell.nml Pvalb-IRES-Cre;Ai14-201791.05.01.01_496079599_m aibs_perisomatic
177 496538958_all-active biophysical i nml:Cell_496538958.cell.nml Pvalb-IRES-Cre;Ai14-201773.04.01.01_496079434_m aibs_perisomatic
178 496538944_all-active biophysical i nml:Cell_496538944.cell.nml Sst-IRES-Cre;Ai14-202726.05.02.01_496123885_m aibs_perisomatic
179 515175347_all-active biophysical i nml:Cell_515175347.cell.nml Pvalb-IRES-Cre;Ai14-202470.03.02.01_505202170_m aibs_perisomatic
180 496538951_all-active biophysical i nml:Cell_496538951.cell.nml Sst-IRES-Cre;Ai14-202729.03.02.01_496079506_m aibs_perisomatic
181 497232312_all-active biophysical i nml:Cell_497232312.cell.nml Rbp4-Cre_496001061_m aibs_perisomatic
182 497232298_all-active biophysical i nml:Cell_497232298.cell.nml Rorb-IRES2-Cre-D;Ai14-204764.04.01.01_496001039_m aibs_perisomatic
183 515175291_all-active biophysical i nml:Cell_515175291.cell.nml Rorb-IRES2-Cre-D;Ai14-204766.03.02.01_510988665_m aibs_perisomatic
184 515175260_all-active biophysical i nml:Cell_515175260.cell.nml Rbp4-Cre_512328534_m aibs_perisomatic
185 496538888_all-active biophysical i nml:Cell_496538888.cell.nml Cux2-CreERT2;Ai14-207760.03.01.01_496163976_m aibs_perisomatic
186 496490646_all-active biophysical i nml:Cell_496490646.cell.nml Rorb-IRES2-Cre-D;Ai14-206927.04.01.01_496253700_m aibs_perisomatic
187 496497595_all-active biophysical i nml:Cell_496497595.cell.nml Pvalb-IRES-Cre;Ai14-212813.03.01.01_496163999_m aibs_perisomatic
188 501282059_all-active biophysical i nml:Cell_501282059.cell.nml Pvalb-IRES-Cre;Ai14-212440.05.02.01_500961631_m aibs_perisomatic
189 471086533_perisomatic biophysical i nml:Cell_471086533.cell.nml Sst-IRES-Cre;Ai14-167638.05.02.01_501934125_m aibs_perisomatic
190 472440759_perisomatic biophysical i nml:Cell_472440759.cell.nml Sst-IRES-Cre;Ai14-167636.04.01.01_491119515_m aibs_perisomatic
191 472299294_perisomatic biophysical i nml:Cell_472299294.cell.nml Rorb-IRES2-Cre-D;Ai14-168052.03.02.01_491770140_m aibs_perisomatic
192 471087975_perisomatic biophysical i nml:Cell_471087975.cell.nml Rorb-IRES2-Cre-D;Ai14-168053.06.01.01_495334938_m aibs_perisomatic
193 473863578_perisomatic biophysical i nml:Cell_473863578.cell.nml Scnn1a-Tg3-Cre;Ai14-168093.03.02.01_491119592_m aibs_perisomatic
194 473862421_perisomatic biophysical i nml:Cell_473862421.cell.nml Pvalb-IRES-Cre;Ai14-169125.03.01.01_491119617_m aibs_perisomatic
195 473863035_perisomatic biophysical i nml:Cell_473863035.cell.nml Nr5a1-Cre;Ai14-169250.03.02.01_491119754_m aibs_perisomatic
196 329321704_perisomatic biophysical i nml:Cell_329321704.cell.nml Scnn1a-Tg3-Cre;Ai14-170426.03.01.01_491392845_m aibs_perisomatic
197 472300877_perisomatic biophysical i nml:Cell_472300877.cell.nml Scnn1a-Tg2-Cre;Ai14-171062.06.02.01_491119500_m aibs_perisomatic
198 473834758_perisomatic biophysical i nml:Cell_473834758.cell.nml Nr5a1-Cre;Ai14-172512.05.01.01_495334973_m aibs_perisomatic
199 478513224_perisomatic biophysical i nml:Cell_478513224.cell.nml Nr5a1-Cre;Ai14-172512.06.02.01_491120144_m aibs_perisomatic
200 480630211_perisomatic biophysical i nml:Cell_480630211.cell.nml Gad2-IRES-Cre;Ai14-172679.05.01.01_491119788_m aibs_perisomatic
201 472455509_perisomatic biophysical i nml:Cell_472455509.cell.nml Scnn1a-Tg3-Cre;Ai14-172530.03.01.01_491771137_m aibs_perisomatic
202 480629276_perisomatic biophysical i nml:Cell_480629276.cell.nml Sst-IRES-Cre;Ai14-173191.06.02.01_491119812_m aibs_perisomatic
203 472304676_perisomatic biophysical i nml:Cell_472304676.cell.nml Sst-IRES-Cre;Ai14-173196.03.01.01_491770223_m aibs_perisomatic
204 472352327_perisomatic biophysical i nml:Cell_472352327.cell.nml Htr3a-Cre_491119419_m aibs_perisomatic
205 472912177_perisomatic biophysical i nml:Cell_472912177.cell.nml Pvalb-IRES-Cre;Ai14-176847.04.02.01_491120133_m aibs_perisomatic
206 472306616_perisomatic biophysical i nml:Cell_472306616.cell.nml Pvalb-IRES-Cre;Ai14-176848.03.01.01_491119484_m aibs_perisomatic
207 480633479_perisomatic biophysical i nml:Cell_480633479.cell.nml Pvalb-IRES-Cre;Ai14-178310.02.01.01_513557093_m aibs_perisomatic
